Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRL23,OUT027,3103.02032
FDS28,OUT046,2944.660933
FDX24,OUT013,1684.715395
FDZ02,OUT035,2143.46675
FDL46,OUT045,2894.584306
FDS60,OUT027,814.2505507
NCO06,OUT017,2559.08806
FDO16,OUT035,309.6508326
FDC60,OUT049,2890.439683
FDA48,OUT018,1117.47817
FDZ36,OUT027,1501.294608
FDK27,OUT045,1325.591537
FDW23,OUT018,911.3124427
FDM14,OUT018,2544.252645
FDM14,OUT013,719.938551
FDW60,OUT018,3102.971774
FDE21,OUT013,2571.75656
NCM42,OUT035,3007.415477
FDY59,OUT010,333.9140061
DRI49,OUT049,2756.632764
FDT28,OUT019,1975.712687
FDQ22,OUT018,3268.931405
FDR60,OUT049,983.9154592
FDC50,OUT019,1450.583712
FDV24,OUT013,312.0792519
DRF48,OUT010,2544.252645
FDQ47,OUT046,1684.715395
DRN36,OUT049,1684.715395
NCY06,OUT035,2789.413797
FDE52,OUT035,911.3124427
NCB54,OUT045,2971.689452
NCF31,OUT035,3046.571565
FDJ08,OUT027,2571.75656
NCC07,OUT017,2759.294842
NCD19,OUT027,1975.712687
FDL46,OUT049,801.5820512
FDM20,OUT045,2415.459168
NCI06,OUT010,2840.676741
DRM11,OUT035,1070.952939
NCH07,OUT018,3072.901365
FDS23,OUT013,2894.584306
FDO49,OUT018,1943.568404
FDS35,OUT049,1561.935674
DRK39,OUT045,2143.46675
DRI39,OUT049,2544.252645
FDV04,OUT017,932.0594727
NCN14,OUT035,2537.098861
FDH08,OUT013,2894.584306
FDS20,OUT046,1963.044187
FDV40,OUT049,3043.309638
FDZ48,OUT010,3033.903066
FDS24,OUT027,2936.926501
FDK44,OUT049,1836.03736
FDS48,OUT045,3108.59378
FDK26,OUT010,822.9795689
FDD23,OUT045,2728.865815
NCH54,OUT017,2759.294842
NCP14,OUT010,2544.252645
FDM60,OUT010,2759.294842
FDV24,OUT017,343.9726195
FDH08,OUT018,624.0749205
FDS12,OUT027,1501.294608
FDR39,OUT027,314.4421803
FDP12,OUT027,106.3740245
DRF60,OUT027,2571.75656
FDC09,OUT035,3227.756696
FDF50,OUT018,2963.072273
FDG28,OUT035,343.9726195
NCE19,OUT017,1975.712687
NCM53,OUT010,3007.415477
NCN18,OUT049,1483.321894
FDF32,OUT035,484.2883504
FDF11,OUT013,2156.135249
DRI59,OUT049,2759.294842
NCG54,OUT035,1361.136609
FDM44,OUT046,1684.715395
FDT57,OUT018,3371.575985
FDV24,OUT046,2728.865815
FDI50,OUT019,592.3571117
FDS09,OUT035,3084.48702
NCC31,OUT027,711.7689661
FDQ07,OUT019,814.2505507
FDC22,OUT017,3851.630679
FDZ56,OUT046,1823.607141
FDZ40,OUT019,3782.121681
FDS46,OUT027,1684.715395
DRD24,OUT045,2658.940285
FDV45,OUT017,2156.135249
FDL26,OUT045,3102.971774
FDA56,OUT018,3290.94047
FDN27,OUT046,326.7411621
FDM20,OUT049,814.2505507
FDO16,OUT017,2877.771184
FDL03,OUT035,333.9140061
FDE58,OUT046,119.042524
FDI02,OUT027,699.1004666
NCC55,OUT019,3046.571565
FDR03,OUT018,3315.12723
FDB14,OUT017,1501.294608
FDR45,OUT013,395.7741104
NCN07,OUT017,312.0792519
FDM51,OUT019,312.0792519
FDT52,OUT027,833.7690786
FDL26,OUT046,2571.75656
NCZ42,OUT046,719.938551
DRI47,OUT019,911.3124427
FDW40,OUT013,1361.136609
FDN34,OUT046,711.7689661
FDS01,OUT035,2048.604206
NCG55,OUT045,2559.08806
FDC11,OUT035,663.5933326
FDX35,OUT018,2048.604206
NCB06,OUT046,374.1895445
FDR09,OUT019,1276.608328
FDC53,OUT017,3084.48702
FDY45,OUT013,3268.931405
FDA22,OUT010,3138.813052
FDE02,OUT035,1361.136609
FDW21,OUT045,2544.252645
FDV34,OUT046,814.2505507
FDS59,OUT049,3108.59378
NCW17,OUT017,343.9726195
NCK54,OUT046,1501.294608
FDG17,OUT019,2729.93628
FDG35,OUT017,2076.965459
FDD08,OUT010,2913.597622
NCO07,OUT017,719.938551
FDJ10,OUT010,2890.439683
FDW36,OUT017,3046.571565
FDW21,OUT010,3046.571565
FDY19,OUT017,3046.571565
DRE03,OUT013,2759.294842
NCC55,OUT049,2728.865815
FDH52,OUT010,1155.379869
FDO09,OUT017,3921.518366
FDU43,OUT045,374.1895445
FDX09,OUT010,1619.784938
FDH40,OUT019,1044.873008
FDW58,OUT017,2048.604206
FDC47,OUT017,2759.294842
NCR41,OUT035,119.042524
DRG49,OUT035,814.2505507
FDC52,OUT027,1501.294608
FDY13,OUT046,1826.170132
FDY35,OUT013,2048.604206
FDI35,OUT017,3046.571565
NCU18,OUT049,1488.626108
FDY33,OUT018,3046.571565
FDC15,OUT027,3046.571565
FDU01,OUT049,2759.294842
NCU42,OUT046,2963.072273
NCV29,OUT018,719.938551
NCY30,OUT017,1361.136609
FDQ46,OUT049,711.7689661
FDG58,OUT027,2759.294842
FDK33,OUT017,2048.604206
NCD07,OUT045,2454.335242
NCX29,OUT027,1361.136609
NCT42,OUT013,3315.12723
DRN59,OUT035,1450.583712
FDI44,OUT035,3138.813052
FDA45,OUT049,2731.548814
FDP31,OUT045,1826.170132
FDY01,OUT046,727.8880981
FDT09,OUT018,2992.072065
DRH03,OUT027,1478.330201
FDA36,OUT018,3248.981666
NCF31,OUT017,2569.797327
FDG14,OUT049,2531.584146
FDG28,OUT027,577.4058079
FDU14,OUT049,2544.252645
FDY47,OUT019,374.1895445
FDI56,OUT049,592.3571117
DRD01,OUT013,3046.571565
FDM22,OUT046,1501.294608
FDH33,OUT013,1963.044187
DRZ24,OUT013,3138.813052
NCQ38,OUT046,2743.08386
FDO16,OUT027,1943.568404
FDU07,OUT027,3108.59378
NCB07,OUT013,1501.294608
FDU48,OUT045,814.2505507
NCM43,OUT045,2156.135249
FDR31,OUT010,1276.608328
DRK49,OUT018,1561.935674
NCI30,OUT010,2334.453174
DRD60,OUT017,323.1493205
NCG19,OUT046,3650.962016
FDH12,OUT035,1279.401169
FDM32,OUT035,2079.440536
FDM27,OUT035,2027.40298
NCU53,OUT027,3046.571565
NCQ18,OUT046,1279.401169
FDS10,OUT013,1501.294608
FDB33,OUT027,3046.571565
FDI12,OUT013,2963.072273
NCW42,OUT013,932.0594727
NCC06,OUT018,1450.583712
FDW02,OUT017,1735.925919
NCD43,OUT017,1975.712687
FDM57,OUT018,1975.712687
FDA58,OUT017,2544.252645
FDK56,OUT046,714.3634645
FDP52,OUT045,2544.252645
FDW20,OUT018,3227.756696
FDS52,OUT049,2992.072065
NCT29,OUT018,3466.79997
NCL54,OUT013,1104.809671
FDC05,OUT045,2544.252645
FDF34,OUT035,1684.715395
FDP03,OUT027,624.0749205
FDD32,OUT010,2728.865815
FDZ10,OUT045,1684.715395
FDZ40,OUT035,3030.340014
FDD51,OUT018,3046.571565
NCY30,OUT019,1297.761897
FDP58,OUT017,3174.738425
FDV49,OUT017,2503.745633
FDY24,OUT019,2803.591049
NCO55,OUT017,335.5957498
FDR13,OUT017,3030.340014
FDS51,OUT017,1684.715395
FDP26,OUT045,3046.571565
NCB54,OUT027,2048.604206
FDF32,OUT017,1684.715395
FDN31,OUT018,3268.931405
DRM48,OUT017,1361.136609
FDN20,OUT049,2759.294842
DRL01,OUT046,2890.439683
FDV56,OUT049,577.4058079
DRH13,OUT027,919.3909732
FDA03,OUT017,1129.414714
FDF47,OUT027,2946.888438
FDX32,OUT046,3019.521029
FDX57,OUT049,2756.632764
NCA30,OUT045,1478.330201
FDO49,OUT013,3315.12723
FDL04,OUT019,3046.571565
DRM48,OUT035,2746.626342
FDR16,OUT013,1054.994482
NCC19,OUT018,2156.135249
NCE42,OUT045,2156.135249
FDY24,OUT017,3268.931405
FDH19,OUT049,1276.608328
FDJ46,OUT013,2589.134393
FDN45,OUT010,2599.279698
FDY08,OUT035,1975.712687
FDZ37,OUT035,1338.260036
NCT30,OUT045,932.0594727
DRY23,OUT018,577.4058079
NCZ30,OUT018,2994.945653
FDC44,OUT018,3248.981666
FDB45,OUT035,1684.715395
FDY04,OUT013,2872.550121
FDM27,OUT046,1826.170132
FDZ43,OUT017,1735.925919
FDT39,OUT019,606.141064
NCC06,OUT019,2759.294842
FDL15,OUT027,2759.294842
FDL57,OUT017,719.938551
FDU08,OUT046,2599.279698
FDK40,OUT017,2989.402073
FDQ12,OUT010,932.0594727
FDS48,OUT017,2759.294842
FDP09,OUT045,3016.979838
FDW21,OUT049,3367.167076
FDY25,OUT035,1102.138808
DRE13,OUT017,1836.03736
FDV43,OUT019,711.7689661
FDD22,OUT045,2156.135249
FDM46,OUT019,1361.136609
NCO30,OUT010,1501.294608
FDM25,OUT046,714.3634645
NCN41,OUT049,1549.842622
FDU24,OUT045,2531.584146
FDZ50,OUT046,2156.135249
FDP45,OUT013,2728.865815
NCM54,OUT045,1361.136609
FDW10,OUT019,559.8348402
FDP20,OUT017,3034.070319
FDK32,OUT046,1361.136609
FDN52,OUT049,2970.865348
FDM58,OUT045,2759.294842
FDZ46,OUT027,2608.212243
NCA18,OUT018,911.3124427
FDD35,OUT046,1448.870616
NCK31,OUT035,1361.136609
FDI40,OUT027,3046.571565
FDT50,OUT019,2989.402073
NCT06,OUT046,2907.72318
FDT31,OUT035,176.4930245
FDT45,OUT049,3051.394408
FDT13,OUT045,719.938551
FDO50,OUT045,1826.170132
NCU18,OUT010,2992.072065
NCR54,OUT049,2544.252645
NCO18,OUT018,714.3634645
FDU09,OUT045,3176.573178
FDT13,OUT018,2759.294842
FDE09,OUT046,932.0594727
NCK53,OUT019,2544.252645
FDG45,OUT049,3046.571565
DRH15,OUT035,119.042524
FDO21,OUT019,2963.072273
FDD14,OUT027,2048.604206
FDC09,OUT046,309.6508326
FDH45,OUT027,2982.224628
FDV32,OUT046,2661.674348
FDG12,OUT035,3061.096942
FDS32,OUT013,2946.888438
NCL55,OUT018,3103.02032
DRE01,OUT035,2840.676741
DRE15,OUT049,2756.632764
NCL42,OUT045,1361.136609
FDP31,OUT013,850.0124538
FDN33,OUT018,110.8729392
FDZ59,OUT046,2916.769483
FDE45,OUT010,2544.252645
FDJ07,OUT013,309.6508326
FDQ45,OUT018,385.9878486
FDM33,OUT027,3033.903066
FDO15,OUT010,2989.402073
FDM46,OUT013,1975.712687
FDR03,OUT045,3051.394408
FDY49,OUT018,3046.571565
FDQ60,OUT045,3485.552674
FDW10,OUT049,2916.769483
FDO51,OUT049,1684.715395
FDJ40,OUT018,2048.604206
FDS20,OUT018,3127.242506
FDU45,OUT013,1684.715395
FDV02,OUT035,176.4930245
FDN09,OUT046,814.2505507
NCM55,OUT027,2156.135249
FDN23,OUT018,1684.069933
FDY31,OUT010,2156.135249
FDW03,OUT010,1338.260036
FDD14,OUT046,628.1190148
FDV23,OUT017,2963.072273
DRI03,OUT045,1361.136609
FDN13,OUT035,2759.294842
FDF45,OUT027,1484.010067
FDU46,OUT035,1501.294608
FDB57,OUT049,1079.122523
FDV12,OUT049,2156.135249
FDQ58,OUT013,719.938551
NCA18,OUT017,719.938551
FDH52,OUT049,1975.712687
FDM24,OUT018,1826.170132
NCP43,OUT027,2635.120976
NCO18,OUT019,2048.604206
FDM32,OUT017,2759.294842
NCL07,OUT017,1450.583712
FDK03,OUT013,1361.136609
FDP59,OUT017,2756.632764
FDQ24,OUT049,3046.571565
FDQ16,OUT018,2890.439683
FDU44,OUT013,3084.48702
FDH28,OUT010,2156.135249
FDV28,OUT019,932.0594727
FDM22,OUT045,1361.136609
FDR56,OUT046,1501.294608
FDV39,OUT049,484.2883504
FDU37,OUT019,2544.252645
FDQ11,OUT010,2890.439683
FDX02,OUT045,2890.439683
NCS42,OUT018,3046.571565
FDY57,OUT027,2989.402073
FDB21,OUT049,833.7690786
FDE28,OUT017,2759.294842
FDQ55,OUT017,2490.682537
FDA48,OUT049,1975.712687
FDZ19,OUT045,316.748105
NCC43,OUT045,2156.135249
NCV18,OUT046,110.8729392
NCA42,OUT018,374.1895445
FDY45,OUT046,2862.7689
NCC30,OUT045,2963.072273
FDM57,OUT013,714.3634645
FDL09,OUT010,2048.604206
FDB09,OUT027,2789.413797
FDT44,OUT035,2963.072273
NCT06,OUT027,2797.69013
FDX26,OUT049,1361.136609
FDK32,OUT013,2048.604206
DRA12,OUT046,1975.712687
FDO46,OUT010,3019.521029
FDE52,OUT013,833.7690786
NCH42,OUT045,1297.761897
FDV08,OUT035,2569.797327
FDB47,OUT018,498.045112
FDC28,OUT010,2840.676741
FDD22,OUT046,2544.252645
FDS07,OUT027,1338.260036
DRI13,OUT045,296.9823331
FDG32,OUT018,624.0749205
FDU14,OUT017,2048.604206
FDD28,OUT019,3127.242506
NCP41,OUT017,711.7689661
FDS08,OUT049,814.2505507
FDX47,OUT045,1684.715395
FDC53,OUT019,2728.865815
FDQ19,OUT035,579.6886122
FDL14,OUT045,2589.134393
FDM33,OUT019,3933.922399
FDA51,OUT045,719.938551
FDZ27,OUT018,395.7741104
FDT04,OUT046,217.8888581
DRC13,OUT049,719.938551
FDR16,OUT027,1975.712687
FDQ03,OUT027,3072.901365
FDE38,OUT035,1943.568404
DRH23,OUT027,395.7741104
FDT11,OUT019,3046.571565
FDD09,OUT035,2571.75656
FDR40,OUT045,1684.715395
FDX07,OUT017,592.0897512
FDR07,OUT035,176.4930245
FDA51,OUT017,2571.75656
FDT59,OUT019,2544.252645
FDF20,OUT017,2759.294842
FDR13,OUT045,3046.571565
FDY26,OUT049,1448.870616
FDW04,OUT017,932.0594727
FDK52,OUT017,2544.252645
FDN60,OUT049,217.8888581
FDM09,OUT019,1276.608328
FDP46,OUT049,3108.59378
FDB50,OUT019,2156.135249
NCQ29,OUT049,1285.093398
FDP16,OUT027,395.7741104
FDX33,OUT018,719.938551
FDP07,OUT010,1007.114607
FDN22,OUT046,1501.294608
FDF39,OUT049,2789.413797
FDS21,OUT017,711.7689661
NCM42,OUT013,2156.135249
FDK50,OUT019,511.1970829
DRF13,OUT027,2759.294842
FDH35,OUT018,2890.439683
FDP60,OUT018,1276.608328
DRJ49,OUT027,2569.797327
NCT42,OUT019,2334.453174
FDE38,OUT049,2963.072273
FDI04,OUT049,2156.135249
NCH54,OUT045,1465.661701
FDT56,OUT049,119.042524
DRD15,OUT018,2048.604206
FDV58,OUT013,395.7741104
FDP21,OUT049,2963.072273
FDH05,OUT013,3315.12723
FDR10,OUT027,3315.12723
NCP06,OUT045,1501.294608
FDF33,OUT049,3019.521029
DRK37,OUT013,2544.252645
DRH49,OUT045,1276.608328
FDT58,OUT013,1279.401169
FDD41,OUT018,2544.252645
FDP40,OUT018,1371.022604
FDM51,OUT027,110.8729392
FDO45,OUT010,1769.327493
FDW33,OUT010,707.2700515
FDY24,OUT045,1488.626108
FDB10,OUT010,3046.571565
FDM40,OUT035,1826.170132
NCI06,OUT017,1684.715395
FDW12,OUT019,1501.294608
FDX48,OUT027,2872.550121
NCW05,OUT027,2759.294842
FDX27,OUT017,2916.769483
DRM37,OUT045,1684.715395
FDA38,OUT045,1338.260036
FDR36,OUT046,2890.439683
FDZ45,OUT046,2678.709949
FDG05,OUT017,2916.769483
FDK28,OUT013,2544.252645
FDV47,OUT045,2544.252645
FDN21,OUT045,1975.712687
FDP20,OUT027,719.938551
FDI35,OUT045,2759.294842
DRY23,OUT013,1826.170132
FDA56,OUT017,1836.03736
FDB09,OUT013,3037.479188
NCO26,OUT027,2907.72318
FDQ49,OUT018,2904.100983
FDI52,OUT027,1297.761897
FDZ44,OUT027,2989.402073
FDZ09,OUT018,1769.327493
FDY03,OUT049,1975.712687
NCG42,OUT017,2759.294842
DRI13,OUT027,1501.294608
FDQ32,OUT013,2759.294842
FDW16,OUT035,1450.583712
FDU27,OUT046,2544.252645
FDR28,OUT010,1338.260036
FDQ49,OUT010,2334.453174
FDS37,OUT046,1450.583712
FDW26,OUT018,2963.072273
FDX12,OUT018,932.0594727
NCP06,OUT013,2963.072273
FDW45,OUT010,719.938551
NCN30,OUT049,2571.75656
FDN24,OUT049,983.9154592
NCL41,OUT027,1276.608328
FDR02,OUT019,814.2505507
FDD09,OUT010,719.938551
FDS33,OUT010,2048.604206
FDU22,OUT045,1836.03736
FDI53,OUT013,1279.401169
DRH01,OUT049,3046.571565
FDX32,OUT013,3046.571565
NCP30,OUT018,2756.632764
FDB60,OUT045,2048.604206
FDB14,OUT049,3138.813052
NCP02,OUT035,1684.715395
FDJ10,OUT017,1661.053648
FDG34,OUT046,1826.170132
NCB18,OUT017,2366.193372
FDM16,OUT049,359.6790508
FDW25,OUT018,1975.712687
FDB35,OUT010,3084.48702
DRN11,OUT013,333.9140061
FDF41,OUT019,3072.901365
FDH16,OUT045,2571.75656
NCQ50,OUT018,3072.901365
DRH23,OUT018,3084.48702
DRJ37,OUT013,2894.584306
DRJ24,OUT027,2156.135249
FDY16,OUT035,628.1190148
FDQ27,OUT045,1279.401169
FDZ33,OUT045,2994.945653
FDF29,OUT045,3248.981666
FDA08,OUT049,2531.584146
FDG31,OUT046,2890.439683
FDE34,OUT019,1684.715395
NCR30,OUT027,814.2505507
FDV33,OUT035,176.4930245
DRZ24,OUT018,1684.715395
NCL54,OUT035,2366.193372
FDR12,OUT049,1501.294608
NCC54,OUT046,1684.715395
DRN59,OUT013,2756.632764
FDX50,OUT019,2894.584306
FDV31,OUT027,2963.072273
NCA29,OUT027,3103.02032
FDW60,OUT049,711.7689661
FDX08,OUT017,3138.813052
DRD49,OUT013,2890.439683
FDD33,OUT046,1338.260036
FDW35,OUT013,4123.671227
FDJ36,OUT017,711.7689661
FDV51,OUT035,1297.761897
FDW36,OUT046,2048.604206
FDH35,OUT046,1684.715395
NCS30,OUT027,1102.138808
FDN49,OUT017,2263.406387
FDL08,OUT018,1279.401169
FDI09,OUT013,1450.583712
FDP19,OUT018,932.0594727
FDU21,OUT010,1228.690273
NCP41,OUT045,2759.294842
FDY10,OUT013,2894.584306
FDP12,OUT018,2544.252645
NCN26,OUT049,2074.066016
FDK44,OUT013,1975.712687
FDC28,OUT049,494.0604261
FDJ41,OUT027,1561.935674
NCT29,OUT035,2994.945653
NCH42,OUT019,1501.294608
FDU60,OUT018,2946.888438
FDS02,OUT045,3084.48702
FDC51,OUT046,3103.02032
FDU03,OUT013,323.1493205
FDX39,OUT045,2890.439683
NCY05,OUT010,2048.604206
NCL06,OUT027,2890.439683
FDD32,OUT035,2048.604206
NCN41,OUT045,3174.738425
NCX53,OUT049,1361.136609
FDU57,OUT019,3108.59378
FDQ23,OUT046,2907.72318
FDQ52,OUT045,2890.439683
FDC14,OUT045,1684.715395
FDY09,OUT035,547.1162042
FDQ28,OUT045,2963.072273
FDV25,OUT046,1425.854331
FDJ07,OUT035,814.2505507
DRB25,OUT049,3046.571565
FDK52,OUT019,2890.439683
FDY52,OUT027,2544.252645
FDB28,OUT046,1684.715395
FDT36,OUT035,341.3229591
FDV25,OUT017,2544.252645
NCN07,OUT027,2994.945653
FDC57,OUT017,1684.715395
FDQ03,OUT018,2989.402073
FDU23,OUT017,711.7689661
NCX41,OUT035,217.8888581
NCD06,OUT035,2571.75656
FDW08,OUT045,2536.434753
NCU29,OUT017,374.1895445
NCE06,OUT013,2366.193372
FDV52,OUT010,1478.330201
FDB02,OUT017,2728.865815
NCR18,OUT045,814.2505507
FDK16,OUT049,1075.868458
NCQ29,OUT010,3227.756696
FDZ01,OUT019,2048.604206
FDW27,OUT035,3138.813052
FDD17,OUT018,719.938551
FDW39,OUT013,1102.138808
DRH59,OUT045,3138.813052
FDS52,OUT013,932.0594727
FDU40,OUT027,2759.294842
NCF54,OUT013,3275.311466
FDH46,OUT045,814.2505507
NCP14,OUT049,814.2505507
FDH50,OUT049,2507.739867
DRF15,OUT010,2048.604206
FDV27,OUT027,2048.604206
NCJ06,OUT049,2759.294842
FDN02,OUT018,2759.294842
FDQ51,OUT049,2048.604206
FDQ07,OUT017,2728.865815
FDS45,OUT049,3268.931405
NCJ06,OUT045,3046.571565
FDD36,OUT035,3315.12723
FDY25,OUT045,278.8464068
FDU52,OUT046,2989.402073
DRK47,OUT017,2048.604206
NCL30,OUT017,1129.414714
FDN22,OUT035,494.0604261
NCF30,OUT027,2544.252645
FDK03,OUT035,932.0594727
FDT45,OUT017,2571.75656
NCC54,OUT027,3046.571565
FDP08,OUT018,2759.294842
FDU44,OUT046,2569.797327
DRG39,OUT035,3021.275452
FDU32,OUT049,1348.468109
FDY27,OUT049,719.938551
NCP54,OUT013,1501.294608
NCZ41,OUT049,2759.294842
DRL49,OUT013,2862.7689
FDI05,OUT018,312.0792519
FDY56,OUT045,2890.439683
DRC13,OUT013,1684.715395
NCV29,OUT017,1836.03736
FDR24,OUT049,932.0594727
FDZ34,OUT018,1826.170132
FDP37,OUT035,2728.865815
FDX08,OUT027,1044.873008
FDS57,OUT045,1338.260036
NCG18,OUT049,1826.170132
FDK25,OUT018,2544.252645
FDH53,OUT049,3227.756696
DRI59,OUT018,2864.12076
FDA52,OUT046,2877.771184
FDT20,OUT010,1338.260036
FDE36,OUT019,2076.965459
FDI24,OUT017,1650.877419
FDB28,OUT018,1672.046895
FDV11,OUT017,2970.759261
FDP01,OUT046,2544.252645
FDD34,OUT027,814.2505507
FDJ50,OUT027,489.8755271
FDZ44,OUT013,932.0594727
DRO59,OUT035,3046.571565
DRB48,OUT045,2334.453174
FDR21,OUT018,1361.136609
NCE42,OUT010,1450.583712
FDO23,OUT046,1975.712687
NCE30,OUT018,278.8464068
FDQ22,OUT035,719.938551
FDY01,OUT045,1501.294608
FDS08,OUT017,3248.981666
FDG28,OUT018,2789.413797
FDQ51,OUT018,2759.294842
FDB05,OUT017,2334.453174
FDO56,OUT049,814.2505507
FDE02,OUT018,2569.797327
FDN45,OUT017,3072.901365
FDS09,OUT013,763.4512938
NCA54,OUT018,1684.715395
FDP09,OUT010,2544.252645
FDC53,OUT045,2048.604206
NCM55,OUT017,2571.75656
FDL09,OUT018,932.0594727
FDA11,OUT019,3084.48702
FDA50,OUT045,1501.294608
FDC23,OUT017,2907.72318
FDE22,OUT049,2635.120976
FDD23,OUT046,2048.604206
NCA29,OUT049,2759.294842
FDK38,OUT046,3138.813052
DRC13,OUT046,2048.604206
NCP43,OUT049,2537.098861
FDX28,OUT049,2728.865815
FDF08,OUT049,3033.903066
FDZ33,OUT046,2759.294842
FDD10,OUT049,711.7689661
FDO58,OUT017,1501.294608
FDI50,OUT017,2310.472342
FDO58,OUT045,1276.608328
FDX08,OUT013,2916.769483
NCK17,OUT010,2156.135249
FDF39,OUT035,2544.252645
FDU45,OUT010,3103.02032
NCJ18,OUT018,1619.784938
DRC27,OUT019,2076.965459
DRC25,OUT035,1975.712687
FDU59,OUT035,2756.632764
FDU28,OUT035,359.6790508
NCP30,OUT046,217.8888581
FDB39,OUT018,2877.771184
FDE41,OUT013,1102.138808
DRH11,OUT010,4118.597242
FDA58,OUT045,2907.72318
FDU50,OUT046,564.7373084
FDM34,OUT013,2963.072273
FDM44,OUT027,932.0594727
FDR39,OUT045,176.4930245
FDM25,OUT045,2892.928849
FDQ49,OUT049,2789.413797
DRH25,OUT018,1501.294608
FDM09,OUT027,1361.136609
FDL44,OUT019,314.6234612
NCR42,OUT018,932.0594727
DRL59,OUT046,1769.327493
FDX43,OUT013,2904.773278
DRK47,OUT010,1927.958332
FDU48,OUT018,932.0594727
FDY12,OUT045,348.6735753
NCN43,OUT018,1276.608328
NCM55,OUT018,577.4058079
FDQ21,OUT027,2728.865815
FDX13,OUT035,592.0897512
NCK30,OUT027,2963.072273
FDG20,OUT049,2569.797327
DRG27,OUT017,374.1895445
FDY14,OUT018,1501.294608
FDP59,OUT035,2963.072273
FDU60,OUT017,3174.738425
NCC18,OUT019,374.1895445
DRJ39,OUT017,2544.252645
FDS07,OUT049,1975.712687
FDM08,OUT027,278.8464068
FDP51,OUT045,2048.604206
FDU16,OUT035,1826.170132
FDH12,OUT013,1501.294608
DRE48,OUT010,1975.712687
NCL42,OUT027,3222.525535
